截止日期_EndDt,月末标识_MonFlg,季末标识_QtrFlg,年末标识_YrFlg,政策性银行及国家开发银行总资产()_PolBanNatDevBank,大型商业银行总资产()_LarComBank,股份制商业银行总资产()_JoiComBan,城市商业银行总资产()_CitComBan,农村商业银行总资产()_RurComBan,农村合作银行总资产_RurCooBan,城市信用社总资产()_UrbCreCoo,农村信用社总资产()_RurCreCoo,非银行金融机构总资产()_NonFinIns,外资银行总资产()_ForBank,新型农村金融机构和邮政储蓄银行总资产()_RurFinInsPosSav,原保险保费收入(元)_PreInc,业务及管理费_BusManExp,银行存款(元)_BankDepo,投资(元)_Investment,保险资产总额(元)_InsurTotAss,养老保险公司企业年金投资管理资产(元)_EndInsAss,境内上市公司数(A、B股)(家)_DomListCorporNum,境内上市外资股(B股)(家)_DomListForgShare,境外上市公司数(H股)(家)_OverListCorpNum,股票总发行股本(A、B、H股)(股)_TotStkABH,股票总发行股本(流通股本:A、B、H股)(股)_TotStkCircuABH,股票市价总值(A、B股)(元)_StkMakCapit,股票市价总值(股票流通市值:A、B股)(元)_StkMakCapitValue,日均股票成交金额(元)_AverDailStkTurn,股票有效帐户数(户)_StkEffAccountNum,证券投资基金数量(只)_NumSecuInvFund,交易所上市证券投资基金成交金额(元)_ExchgListSecu,股票成交金额(元)_StkTurn,固有资产余额(元)_InhAssBal,所有者权益(元)_OwnEqu,经营收入(元)_OpeInc,利润总额(元)_TotPro,人均利润(元)_ProPer,信托资产总额(元)_TrustTotAss,
2009-10-31,1,,,,,,,,,,,,,,936093921300.0000,94426345200.0000,985303810400.0000,2507962261000.0000,,,1682.0000,109.0000,156.0000,2577089000000.0000,1934639000000.0000,215892.0100,130920.1400,202326000000.0000,117305400.0000,531.0000,73047000000.0000,32372.1900,,,,,,
2009-11-30,1,,,,,,,,,,,,,,1021675691000.0000,105472128100.0000,968593828000.0000,2587904246000.0000,,,1693.0000,109.0000,157.0000,2591604000000.0000,1948057000000.0000,239503.0400,143525.2300,304816000000.0000,118827800.0000,536.0000,109133000000.0000,64011.3600,,,,,,
2009-12-31,1,1,1,69456.0000,407998.0000,118181.0000,56800.0000,18661.0000,1279100000000.0000,27200000000.0000,5494500000000.0000,1550400000000.0000,1349200000000.0000,2704500000000.0000,1113729892000.0000,123405866500.0000,1051968317000.0000,2689743240000.0000,,,1718.0000,108.0000,159.0000,2616285000000.0000,1975953000000.0000,243939.1200,151258.6500,226587000000.0000,120376900.0000,557.0000,107431000000.0000,52115.0200,,,,,,
2010-01-31,1,,,,,,,,,,,,,,164297874400.0000,9510633300.0000,1065802372000.0000,2642802565000.0000,,,1754.0000,108.0000,159.0000,2634660000000.0000,2003301000000.0000,226361.6200,144919.6200,239506000000.0000,120329100.0000,559.0000,96670000000.0000,47901.2800,,,,,,
2010-02-28,1,,,,,,,,,,,,,,298805852800.0000,19963191500.0000,1085263355000.0000,2712921669000.0000,,,1775.0000,108.0000,159.0000,2655722000000.0000,2009091000000.0000,236597.0000,150489.7400,162124000000.0000,121091300.0000,570.0000,39439000000.0000,24318.6100,,,,,,
2010-03-31,1,1,,,,,,,,,,,,,454136238100.0000,31951188400.0000,1159474457000.0000,2794327176500.0000,,,1807.0000,108.0000,159.0000,2676819000000.0000,2028878000000.0000,244952.5800,156605.5700,191804000000.0000,122889800.0000,576.0000,16589000000.0000,44114.9200,123110000000.0000,108660000000.0000,3880000000.0000,2610000000.0000,350000.0000,23745.4000
2010-04-30,1,,,,,,,,,,,,,,565515667200.0000,43382440500.0000,1146026335000.0000,2824218567000.0000,,,1837.0000,108.0000,159.0000,2699482000000.0000,2073182000000.0000,227905.5000,147308.3500,247283000000.0000,124152300.0000,589.0000,24672000000.0000,51929.3700,,,,,,
2010-05-31,1,,,,,,,,,,,,,,673706120300.0000,54451731100.0000,1146438184000.0000,2904836150000.0000,,,1863.0000,108.0000,159.0000,2730763310000.0000,2108696000000.0000,209639.4300,136372.7400,164236000000.0000,125275400.0000,601.0000,77635000000.0000,32847.2600,,,,,,
2010-06-30,1,1,,,,,,,,,,,,,799855405600.0000,67627782200.0000,1270032661000.0000,2895446631000.0000,,,1891.0000,108.0000,159.0000,2768141000000.0000,2148491000000.0000,195138.7300,126761.5300,133200000000.0000,126297700.0000,619.0000,48509000000.0000,25307.9600,123910000000.0000,109050000000.0000,9628000000.0000,6547000000.0000,820600.0000,29152.5000
2010-07-31,1,,,,,,,,,,,,,,903910522100.0000,79201891000.0000,1233809909000.0000,2982212378000.0000,,,1916.0000,108.0000,160.0000,3122168000000.0000,2218369000000.0000,225922.0500,143114.3200,148516000000.0000,127344600.0000,626.0000,55923000000.0000,32673.4600,,,,,,
